station_id,latitude,longitude
2421,56.312943,-3.021117
1533,48.6134,1.6894
1311,55.0479,-1.4523
4018,53.0238,8.5369
2314,53.20813,-1.672968
1967,50.6825,-3.2374
2163,47.5276,-0.4401
1479,50.9156,4.6577
2505,59.957,10.7634
1650,51.5523,-3.0273
3746,53.688606,-0.451073
1151,47.4032,8.5585
2392,51.2828,7.1124
1708,48.48,16.59
2387,50.7182,7.0505
3279,51.9914,7.439
2246,53.3544,-3.0886
1715,47.3818,-1.5185
441,51.3792,-0.3917
1709,48.6886,8.933
86,56.4685,-3
3192,52.065632,1.161198
3130,53.0722,-1.224
2533,49.2622,11.4764
3644,53.3698,9.9391
2743,43.6154,1.4005
2974,43.1384,6.0773
3757,53.6925,10.148
3639,50.1344,8.7587
390,51.6469,-3.9508
374,50.0688,19.9669
3748,56.196426,16.398014
2820,50.8372,3.388
437,60.0962,14.6658
1735,51.4715,12.0041
4080,51.876282,6.468042
2677,43.08,5.824
3286,52.1422,8.0979
3548,49.659393,6.231847
2874,51.885704,4.664938
3603,50.8346,3.8162
3968,51.876083,0.547297
2044,48.0084,-1.4294
3818,51.5208,4.5156
1506,49.0655,-1.547
763,48.1334,16.2769
1108,53.4712,9.8249
3485,52.4574,8.3719
3845,51.3554,-1.1377
1811,50.8376,-1.7155
3679,51.306126,5.579137
2432,52.355644,5.001765
2637,52.0118,6.4496
1895,49.5965,6.1421
822,35.5066,23.9684
244,51.6088,0.0084
2235,51.675125,-1.438147
3780,48.453335,9.065531
1618,48.9421,2.8626
3546,57.54002,12.411881
2847,50.151329,8.733738
1287,55.8413,12.2828
2445,51.836876,5.875605
569,48.5878,1.8093
157,53.1547,8.1706
3022,52.1173,5.1812
3560,53.9194,8.9348
3836,52.7401,-3.6388
3545,51.6742,8.9292
1816,43.2951,5.3861
873,47.518,8.242
3825,49.264,8.6058
686,50.7346,-1.7356
3213,53.156818,0.187935
3048,52.11195,-2.331137
3872,50.504807,7.872574
218,53.2371,-1.7907
842,59.9431,11.0096
396,49.9985,8.2041
3384,51.944447,0.803273
426,53.6134,-1.8099
3683,51.87112,-1.09498
2615,56.2158,-2.7618
3444,48.0777,11.1473
2819,56.223,-2.7606
1532,50.6067,6.5433
2503,54.2558,-6.099
1321,52.3729,6.4802
823,55.9449,-3.3165
2498,57.159294,-2.557497
499,57.2176,-2.461
1705,52.6199,6.313
340,58.7404,17.8653
1886,52.5702,-1.0289
981,58.8013,17.8356
721,47.2552,11.3707
2864,55.9084,-4.249
1661,53.1711,-1.9831
3222,43.6024,3.9098
2818,56.2224,-2.7672
860,55.9138,-3.1717
604,55.9559,-4.1594
899,59.5209,10.6973
1918,46.2174,1.9156
389,50.6206,-3.3946
268,54.1783,-4.5539
3436,50.8116,4.3445
3851,51.046913,3.652485
3383,60.671,15.2498
883,61.4286,10.2151
3943,47.799156,13.02457
314,53.1144,-3.3758
3553,51.9849,7.6497
1465,53.1783,13.2273
4060,47.5408,7.7396
1870,52.1346,-1.4589
2556,51.757992,-2.500492
1864,51.3986,-3.2791
143,51.3198,-0.5792
1781,47.314,0.817
1689,53.3249,-2.2426
2433,52.6878,-1.8476
3675,52.331856,1.679058
397,53.4851,-1.6106
3420,50.835552,13.374719
3357,52.541016,-2.7516
290,51.5963,-0.1471
1262,51.2044,-2.2084
1662,53.171,-1.9828
3312,51.117966,-0.01043
3701,50.8474,-0.2526
679,51.6997,-2.3568
2780,58.376,12.3744
312,52.0978,-0.2478
1903,49.3184,0.0029
3596,48.069168,-0.774965
1601,49.4609,1.0978
3128,51.4137,-2.5467
3589,48.555599,9.2211
3718,51.479366,7.206001
1627,52.3887,12.699
2577,51.8714,-2.44
2713,49.6944,13.256
1063,43.4852,-0.7456
3227,50.375252,2.815092
3551,50.9315,3.8955
1938,53.7251,-2.7468
3392,59.393467,16.423738
2450,51.9664,4.5786
3558,48.3751,0.5589
2741,51.2131,4.4545
2663,56.0926,10.1942
1202,52.3727,1.071
1238,53.2117,8.5092
2575,50.798965,4.026435
3556,47.64,3.07
1258,53.525,-2.2921
3278,52.6933,7.2869
359,45.555865,6.739501
2104,50.8816,4.6412
4015,52.2799,8.047
492,48.7684,2.487
3538,55.6696,13.3586
2244,51.0532,4.8926
